Holdings details

FTSE Developed Markets ETF (VEA)


Equity,as of 08/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6451055,Hyundai Motor Co,005380,0.12%,Automobile Manufacturers,KR,---,"$387,503,161.82","1,316,742"
,B601QS4,Daiichi Life Group Inc,8750,0.12%,Life & Health Insurance,JP,---,"$386,006,216.20","33,749,700"
,5289837,Erste Group Bank AG,EBS,0.12%,Diversified Banks,AT,---,"$385,812,597.11","2,744,956"
,6916781,United Overseas Bank Ltd,UOB,0.12%,Diversified Banks,SG,---,"$385,265,207.18","11,820,549"
,BLGZ986,Tesco PLC,TSCO,0.12%,Food Retail,GB,---,"$379,621,808.23","61,319,171"
,BRC2T72,Galderma Group AG,GALD,0.11%,Pharmaceuticals,CH,---,"$375,601,506.66","1,811,419"
,B2Q4CS1,MS&AD Insurance Group Holdings Inc,8725,0.11%,Property & Casualty Insurance,JP,---,"$373,587,673.76","11,761,992"
,BF2DSG3,Sika AG,SIKA,0.11%,Specialty Chemicals,CH,---,"$372,987,504.29","1,572,490"
,B1YW440,3i Group PLC,III,0.11%,Asset Management & Custody Banks,GB,---,"$369,556,809.14","9,765,172"
,6076425,Bank Leumi Le-Israel BM,LUMI,0.11%,Diversified Banks,IL,---,"$369,495,159.80","14,493,292"
,BYT8165,Japan Post Bank Co Ltd,7182,0.11%,Diversified Banks,JP,---,"$369,489,850.74","17,446,229"
,6640400,NEC Corp,6701,0.11%,IT Consulting & Other Services,JP,---,"$368,252,088.98","12,076,910"
,5176177,Orange SA,ORA,0.11%,Integrated Telecommunication Services,FR,---,"$367,375,575.60","20,547,290"
,BSCB6L9,Celestica Inc,CLS,0.11%,Electronic Manufacturing Services,CA,---,"$364,751,042.85","1,215,676"
,B03Z841,Kinross Gold Corp,K,0.11%,Gold,CA,---,"$358,990,802.61","11,723,452"
,B19NLV4,Experian PLC,EXPN,0.11%,Research & Consulting Services,GB,---,"$358,818,183.64","8,814,466"
,B62G7K6,Sompo Holdings Inc,8630,0.11%,Property & Casualty Insurance,JP,---,"$356,828,767.75","8,375,063"
,4588825,Danske Bank A/S,DANSKE,0.11%,Diversified Banks,DK,---,"$356,158,254.63","6,161,417"
,6869302,TDK Corp,6762,0.11%,Electronic Components,JP,---,"$355,945,824.37","18,588,450"
,BDRJLN0,Nutrien Ltd,NTR,0.11%,Fertilizers & Agricultural Chemicals,CA,---,"$355,735,526.20","4,716,201"
,BYPC1T4,Assa Abloy AB,ASSAB,0.11%,Building Products,SE,---,"$354,663,396.86","9,530,775"
,6250724,Daikin Industries Ltd,6367,0.11%,Building Products,JP,---,"$353,181,192.96","2,742,065"
,BJT1GR5,Alcon AG,ALC,0.11%,Health Care Supplies,CH,---,"$345,392,957.75","4,770,418"
,6981239,Woolworths Group Ltd,WOW,0.10%,Food Retail,AU,---,"$344,081,429.10","11,924,440"
,2697701,Power Corp of Canada,POW,0.10%,Life & Health Insurance,CA,---,"$343,173,202.61","5,178,799"
,BLPLD38,Sandoz Group AG,SDZ,0.10%,Pharmaceuticals,CH,---,"$341,464,310.34","4,066,085"
,5669354,Repsol SA,REP,0.10%,Integrated Oil & Gas,ES,---,"$340,717,620.74","10,682,617"
,6356934,FANUC Corp,6954,0.10%,Industrial Machinery & Supplies & Components,JP,---,"$340,522,056.51","9,087,590"
,4813345,Skandinaviska Enskilda Banken AB,SEBA,0.10%,Diversified Banks,SE,---,"$337,958,506.51","14,473,915"
,6635677,Renesas Electronics Corp,6723,0.10%,Semiconductors,JP,---,"$337,109,827.25","16,119,187"
,0709954,Prudential PLC,PRU,0.10%,Life & Health Insurance,GB,---,"$335,736,532.42","24,684,496"
,6421553,Resona Holdings Inc,8308,0.10%,Regional Banks,JP,---,"$335,668,418.51","21,407,017"
,B04YJV1,Intact Financial Corp,IFC,0.10%,Property & Casualty Insurance,CA,---,"$335,110,159.10","1,731,263"
,2566351,Fairfax Financial Holdings Ltd,FFH,0.10%,Property & Casualty Insurance,CA,---,"$333,716,863.12","204,668"
,B5LTM93,Otsuka Holdings Co Ltd,4578,0.10%,Pharmaceuticals,JP,---,"$332,902,631.15","4,340,901"
,6075808,Bank Hapoalim BM,POLI,0.10%,Diversified Banks,IL,---,"$331,874,835.58","12,853,252"
,4057808,L'Oreal SA,OR,0.10%,Personal Care Products,FR,---,"$330,831,296.44","743,013"
,4497749,KBC Group NV,KBC,0.10%,Diversified Banks,BE,---,"$330,506,297.81","2,172,085"
,6397502,Shinhan Financial Group Co Ltd,055550,0.10%,Diversified Banks,KR,---,"$329,634,500.87","4,140,129"
,B4TP9G2,Dollarama Inc,DOL,0.10%,Broadline Retail,CA,---,"$326,645,288.94","2,585,903"
,BN4MYF5,Vestas Wind Systems A/S,VWS,0.10%,Heavy Electrical Equipment,DK,---,"$322,337,944.07","9,720,480"
,BZ1HM42,Adyen NV,ADYEN,0.10%,Transaction & Payment Processing Services,NL,---,"$315,790,947.13","260,712"
,4846523,Swedbank AB,SWEDA,0.10%,Diversified Banks,SE,---,"$313,875,510.27","8,012,087"
,B0J7D91,Daiichi Sankyo Co Ltd,4568,0.10%,Pharmaceuticals,JP,---,"$313,618,016.40","17,512,409"
,2879327,Teck Resources Ltd,TECK/B,0.10%,Diversified Metals & Mining,CA,---,"$313,494,228.60","4,597,263"
,5962343,STMicroelectronics NV,STMMI,0.10%,Semiconductors,IT,---,"$313,436,715.85","6,261,553"
